ID_LABEL1,Date Ordered,ID #,Format,Pub Status,Pub Status Description,SRDP,Order Disc Class,Product Class,Quantity Ordered,Order Price,Disc Pct,Line Amount
124,9/27/17,1,C,1,Active Title,,124ND,UCTECH,1,72,,72
124,11/13/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/31/17,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/21/18,1,C,1,Active Title,,124ND,UCTECH,12,72,0,864
124,11/16/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/6/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/6/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/6/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/10/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/12/18,1,C,1,Active Title,,124ND,UCTECH,-1,72,100,0
124,7/21/17,1,C,1,Active Title,,124ND,UCTECH,14,72,,"1,008.00"
124,1/3/19,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/3/19,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,3/12/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,10/11/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/21/17,1,C,1,Active Title,,124ND,UCTECH,-2,72,0,-144
124,8/24/17,2,C,1,Active Title,,124ND,UCTECH,8,72,0,576
124,9/7/16,2,C,1,Active Title,,124ND,UCTECH,25,72,0,"1,800.00"
124,4/25/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/6/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/12/18,2,C,1,Active Title,,124ND,UCTECH,6,72,0,432
124,7/17/18,2,C,1,Active Title,,124ND,UCTECH,5,72,0,360
124,11/22/16,2,C,1,Active Title,,124ND,UCTECH,-1,72,0,-72
124,11/29/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/21/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,6/14/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/26/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,10/21/15,2,C,1,Active Title,,124ND,UCTECH,-5,72,0,-360
124,10/21/15,2,C,1,Active Title,,124ND,UCTECH,-1,72,0,-72
124,5/26/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/26/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/17/15,2,C,1,Active Title,,124ND,UCTECH,25,72,0,"1,800.00"
124,9/14/15,2,C,1,Active Title,,124ND,UCTECH,4,72,,288
124,2/27/17,2,C,1,Active Title,,124ND,UCTECH,-15,72,0,"-1,080.00"
124,8/19/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/19/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,6/22/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/10/15,2,C,1,Active Title,,124ND,UCTECH,25,72,0,"1,800.00"
124,6/22/15,2,C,1,Active Title,,124ND,UCTECH,20,72,0,"1,440.00"
124,5/10/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/31/17,2,C,1,Active Title,,124ND,UCTECH,-5,72,0,-360
124,8/4/16,2,C,1,Active Title,,124ND,UCTECH,8,72,0,576
124,1/26/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,6/5/17,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,8/8/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
